capability_id,domain,package,package_version,slug,title,kind,incorporation_assumption,path,sha256
SK-001,01-web-runtime,next,16.2.11,app-router-architecture,App Router Architecture,atomic-package-capability,none,skills/01-web-runtime/next/app-router-architecture/SKILL.md,114cec9ca35db24e9004049bf01d9a431c0938e1385a2ddea6eba03e06ecfec1
SK-002,01-web-runtime,next,16.2.11,rendering-strategy,Rendering Strategy,atomic-package-capability,none,skills/01-web-runtime/next/rendering-strategy/SKILL.md,7ab5a9dad1bfe93320cffaeea14addf4f2cfc7798a0e975d3eb727f6af47e0bb
SK-003,01-web-runtime,next,16.2.11,server-client-boundaries,Server and Client Boundaries,atomic-package-capability,none,skills/01-web-runtime/next/server-client-boundaries/SKILL.md,52aeeb320dc46b84665c8531d1314e24c706600baa6250d8b6846a926e139046
SK-004,01-web-runtime,next,16.2.11,server-actions,Server Actions,atomic-package-capability,none,skills/01-web-runtime/next/server-actions/SKILL.md,60b166052f57e600ed7777515232865204a33febdddadfb59d21dfdf1ceaefed
SK-005,01-web-runtime,next,16.2.11,route-handlers,Route Handlers,atomic-package-capability,none,skills/01-web-runtime/next/route-handlers/SKILL.md,51674bd3dd866649683bca0a1d6b6b113cfd6ffd25c9cb02382fac847ffcc1ba
SK-006,01-web-runtime,next,16.2.11,cache-revalidation,Cache and Revalidation,atomic-package-capability,none,skills/01-web-runtime/next/cache-revalidation/SKILL.md,15e2bdf82522c2c4f5d40c2e375337d5a22c300425558200da267a7bdb416907
SK-007,01-web-runtime,next,16.2.11,metadata-seo,Metadata and SEO,atomic-package-capability,none,skills/01-web-runtime/next/metadata-seo/SKILL.md,db24b2281ecdd87a51099bb0e31efa237785fc26c982ab349d8f24f3fe26b847
SK-008,01-web-runtime,next,16.2.11,asset-optimization,Asset Optimization,atomic-package-capability,none,skills/01-web-runtime/next/asset-optimization/SKILL.md,28a450cea9504c0ebbf4cbe059bcf7fe90786760f4b1a4f7fe38b7ed5852b79a
SK-009,01-web-runtime,next,16.2.11,recovery-states,"Loading, Error and Not Found Recovery",atomic-package-capability,none,skills/01-web-runtime/next/recovery-states/SKILL.md,287d006c97bcdb7a58ea045f073b821f2946b932c1f4eb2d78c05bf780818368
SK-010,01-web-runtime,next,16.2.11,deployment-runtimes,Deployment and Runtime Selection,atomic-package-capability,none,skills/01-web-runtime/next/deployment-runtimes/SKILL.md,102a49fce1f1e65655b2225052b9a9674834283d36bc6b4a4be848c4f0b28df6
SK-011,01-web-runtime,react,19.2.0,component-composition,Component Composition,atomic-package-capability,none,skills/01-web-runtime/react/component-composition/SKILL.md,4f0bbbe6bc257c535778b6ff39f7be1da8cfebf0021bbe4d2676dc8971fb3e7f
SK-012,01-web-runtime,react,19.2.0,state-and-hooks,State and Hooks,atomic-package-capability,none,skills/01-web-runtime/react/state-and-hooks/SKILL.md,1d6e0ff985a3b4489458657266c2cf60d11979d9cff3b842f1c06e74dd91eb98
SK-013,01-web-runtime,react,19.2.0,context-providers,Context and Providers,atomic-package-capability,none,skills/01-web-runtime/react/context-providers/SKILL.md,c97f6dcd0bdf9691da0ae905c396e82ac56218ef02466517a3386dbe0651574b
SK-014,01-web-runtime,react,19.2.0,suspense-transitions,Suspense and Transitions,atomic-package-capability,none,skills/01-web-runtime/react/suspense-transitions/SKILL.md,7870ac7aa01badff41b82f82b98cf06d934fafaf0c334f70607433faf0c526c3
SK-015,01-web-runtime,react,19.2.0,actions-optimistic-ui,Actions and Optimistic UI,atomic-package-capability,none,skills/01-web-runtime/react/actions-optimistic-ui/SKILL.md,ad73a9512fa345d38678c1a159b3c312e1685f09753442607f49e66ea8c90ecd
SK-016,01-web-runtime,react,19.2.0,refs-imperative-apis,Refs and Imperative APIs,atomic-package-capability,none,skills/01-web-runtime/react/refs-imperative-apis/SKILL.md,c154e09d51842cc6bc4603521ef3c50775bb56209c10cf1b97f1d95791f7ea98
SK-017,01-web-runtime,react,19.2.0,error-boundaries-recovery,Error Boundaries and Recovery,atomic-package-capability,none,skills/01-web-runtime/react/error-boundaries-recovery/SKILL.md,5029925933e194cb4ff7a8229a3f88ca67f3c290fbd719d56aa0455e0dd8025d
SK-018,01-web-runtime,react-dom,19.2.0,root-hydration,Root Creation and Hydration,atomic-package-capability,none,skills/01-web-runtime/react-dom/root-hydration/SKILL.md,4134e1de92945d1add6409c174c7d3c3aa74e9f367c8f19c8c679f3b17907ab2
SK-019,01-web-runtime,react-dom,19.2.0,portals-overlays,Portals and Overlay Mounting,atomic-package-capability,none,skills/01-web-runtime/react-dom/portals-overlays/SKILL.md,71f4f6fd69916ce443977d7cfca1e754c2be18ba80da675b155b09da80d0455f
SK-020,01-web-runtime,react-dom,19.2.0,server-rendering,React DOM Server Rendering,atomic-package-capability,none,skills/01-web-runtime/react-dom/server-rendering/SKILL.md,938c2f81b040ee0c7f00ed7a1b795d2567fd051aca2aabe8a67bb1adf015c1fe
SK-021,01-web-runtime,server-only,^0.0.1,server-only-boundary,Server-only Boundary Enforcement,atomic-package-capability,none,skills/01-web-runtime/server-only/server-only-boundary/SKILL.md,6f666d4626ebbcf35f882c260e2dd0b525375ee0c9c9df4a5fe4066bfd6843c5
SK-022,02-identity-auth,@clerk/nextjs,^7.6.4,sign-up-sign-in,Sign-up and Sign-in,atomic-package-capability,none,skills/02-identity-auth/clerk-nextjs/sign-up-sign-in/SKILL.md,f8c49be183bffcc259053662e318a4bdd34c9e47e5e9863bfd0177f76d564a86
SK-023,02-identity-auth,@clerk/nextjs,^7.6.4,session-management,Session Management,atomic-package-capability,none,skills/02-identity-auth/clerk-nextjs/session-management/SKILL.md,ad4395ddce90c7da7cc7285caffc28f33e0a6e7136c9ce896ea07222078f9d9e
SK-024,02-identity-auth,@clerk/nextjs,^7.6.4,user-profile,User Profile Management,atomic-package-capability,none,skills/02-identity-auth/clerk-nextjs/user-profile/SKILL.md,f9de2e33a1ed6970a451776dd92a38326a43009f9f9a075b98db2aa35f10f6f7
SK-025,02-identity-auth,@clerk/nextjs,^7.6.4,route-protection,Route and Operation Protection,atomic-package-capability,none,skills/02-identity-auth/clerk-nextjs/route-protection/SKILL.md,61894f0b9acdb84d5f9f263c2e34caa63a4b63aa8581d2f3425223157f90d94b
SK-026,02-identity-auth,@clerk/nextjs,^7.6.4,organizations,Organization Management,atomic-package-capability,none,skills/02-identity-auth/clerk-nextjs/organizations/SKILL.md,f8e7a6bb0dcbc2c839257df9f3ccfe2985d80a22fe18da08d6b88728eacee088
SK-027,02-identity-auth,@clerk/nextjs,^7.6.4,roles-permissions,Roles and Permissions,atomic-package-capability,none,skills/02-identity-auth/clerk-nextjs/roles-permissions/SKILL.md,42a22f20d3c6bf835412b47a49ee0515f25b7746df8e998e1ad278bb9503afb5
SK-028,02-identity-auth,@clerk/nextjs,^7.6.4,webhooks-sync,Identity Webhooks and Synchronization,atomic-package-capability,none,skills/02-identity-auth/clerk-nextjs/webhooks-sync/SKILL.md,08dc599cd240f130cc7f81045ba970987832d51628233f6271a04445ef5324af
SK-029,02-identity-auth,@clerk/nextjs,^7.6.4,mfa-security,MFA and Authentication Security,atomic-package-capability,none,skills/02-identity-auth/clerk-nextjs/mfa-security/SKILL.md,bc424bf61038c0aed2283a7a4aeddc6a1d160f5ba9922d80be6431dc26747265
SK-030,02-identity-auth,input-otp,1.4.1,otp-user-experience,OTP User Experience,atomic-package-capability,none,skills/02-identity-auth/input-otp/otp-user-experience/SKILL.md,85e802849d2d28ce21ee6eb16f405f4073c285eb1dfc329c801f320bca8593e7
SK-031,02-identity-auth,input-otp,1.4.1,otp-paste-completion,OTP Paste and Completion,atomic-package-capability,none,skills/02-identity-auth/input-otp/otp-paste-completion/SKILL.md,a9a8fb5189590c1c86fbe57b8ccfd84eb1cf641ad567700c021cbbf904596a7a
SK-032,02-identity-auth,input-otp,1.4.1,otp-form-integration,OTP Form Integration,atomic-package-capability,none,skills/02-identity-auth/input-otp/otp-form-integration/SKILL.md,b4275ca8ea3d8cd4002ef106619b11cb1b6e4e0c91d34733854ae89edc815af2
SK-033,03-data-contracts-forms,pg,^8.22.0,connection-pooling,PostgreSQL Connection Pooling,atomic-package-capability,none,skills/03-data-contracts-forms/pg/connection-pooling/SKILL.md,c73e296aac9199c2aa9edc1a40febc5cbbb77d394b771399a4af96bbbb1b30fa
SK-034,03-data-contracts-forms,pg,^8.22.0,parameterized-queries,Parameterized Queries,atomic-package-capability,none,skills/03-data-contracts-forms/pg/parameterized-queries/SKILL.md,0f9bd31a86ebe3a6c632276f6ff1010e66ae139e03ae0879e571895bb2683503
SK-035,03-data-contracts-forms,pg,^8.22.0,transactions,Database Transactions,atomic-package-capability,none,skills/03-data-contracts-forms/pg/transactions/SKILL.md,61fbd57ae20051be404b9eff67b8a9af71f9d0c6c209aa8012cf0c702b0b9331
SK-036,03-data-contracts-forms,pg,^8.22.0,type-mapping-results,Type Mapping and Query Results,atomic-package-capability,none,skills/03-data-contracts-forms/pg/type-mapping-results/SKILL.md,04f533dd261e03c5ac6f439cf0147de9a5c4c094fd5964f02c4e658a743e3079
SK-037,03-data-contracts-forms,pg,^8.22.0,tls-errors-recovery,"Database TLS, Errors and Recovery",atomic-package-capability,none,skills/03-data-contracts-forms/pg/tls-errors-recovery/SKILL.md,29d324bbabc6c3723989ceb3686493764b6c1fe05fcc52374e725a2afdc7d385
SK-038,03-data-contracts-forms,zod,3.25.76,schema-modeling,Schema Modeling,atomic-package-capability,none,skills/03-data-contracts-forms/zod/schema-modeling/SKILL.md,41f4558d10d87c32d4563005300d24b95553c75d54cb616fb51a4682658961a8
SK-039,03-data-contracts-forms,zod,3.25.76,safe-parsing,Safe Parsing,atomic-package-capability,none,skills/03-data-contracts-forms/zod/safe-parsing/SKILL.md,f928bbb7b1bd190b540da0c7d0b71e46560c1913d9e034e8b1c5ecfb7e4f1dea
SK-040,03-data-contracts-forms,zod,3.25.76,refinements,Refinements and Cross-field Rules,atomic-package-capability,none,skills/03-data-contracts-forms/zod/refinements/SKILL.md,68cf89d0762523f1113674be1fb0177e538aae4700b3b3f3a3d4c68a5344f084
SK-041,03-data-contracts-forms,zod,3.25.76,coercion-transforms,Coercion and Transformations,atomic-package-capability,none,skills/03-data-contracts-forms/zod/coercion-transforms/SKILL.md,4903f8381622085ba2b89322166edeb83150402865c5ba8955b237d53f18ec5a
SK-042,03-data-contracts-forms,zod,3.25.76,error-modeling,Validation Error Modeling,atomic-package-capability,none,skills/03-data-contracts-forms/zod/error-modeling/SKILL.md,f2ef040e8dd3d78cbb432a219be8eb7e891d03a57c938d901a106623358d9104
SK-043,03-data-contracts-forms,zod,3.25.76,shared-contracts,Shared Runtime and Type Contracts,atomic-package-capability,none,skills/03-data-contracts-forms/zod/shared-contracts/SKILL.md,366bcba2fb1cf9055a990421ca8398ee1bd42b237f086b214768492ab9f03553
SK-044,03-data-contracts-forms,react-hook-form,^7.60.0,field-registration,Field Registration,atomic-package-capability,none,skills/03-data-contracts-forms/react-hook-form/field-registration/SKILL.md,18b52d8d4e60d42133c732b1acfc470a79408749d26e4f9967dba25c0c963433
SK-045,03-data-contracts-forms,react-hook-form,^7.60.0,form-state-validation,Form State and Validation,atomic-package-capability,none,skills/03-data-contracts-forms/react-hook-form/form-state-validation/SKILL.md,66264307ace1fd717eb7bfe811009828b3913fbd5ba3aec879f3a4c6034d3745
SK-046,03-data-contracts-forms,react-hook-form,^7.60.0,controlled-components,Controlled Component Integration,atomic-package-capability,none,skills/03-data-contracts-forms/react-hook-form/controlled-components/SKILL.md,1182b20017b65f8982fb72f95a03eb7372d69c51a9684827697b29a42db2c3d4
SK-047,03-data-contracts-forms,react-hook-form,^7.60.0,dynamic-field-arrays,Dynamic Field Arrays,atomic-package-capability,none,skills/03-data-contracts-forms/react-hook-form/dynamic-field-arrays/SKILL.md,e8bf539cfdd359f586e29c8bef6d1bf93ff26bbe28b637e52ab083a0b9327a11
SK-048,03-data-contracts-forms,react-hook-form,^7.60.0,submission-reset,Submission and Reset Flows,atomic-package-capability,none,skills/03-data-contracts-forms/react-hook-form/submission-reset/SKILL.md,aca70f8b2cd008609b8385923fadb2c94c70d939e94db41588781f70fcf6639d
SK-049,03-data-contracts-forms,react-hook-form,^7.60.0,render-performance,Form Render Performance,atomic-package-capability,none,skills/03-data-contracts-forms/react-hook-form/render-performance/SKILL.md,af369e2b215e8c5b0cc53bef764cab1e6945373959e041f7aedadc60e55ff4b8
SK-050,03-data-contracts-forms,@hookform/resolvers,^3.10.0,schema-bridge,Schema Resolver Bridge,atomic-package-capability,none,skills/03-data-contracts-forms/hookform-resolvers/schema-bridge/SKILL.md,a895c1372837edd35127b4a03e8273dece17194454ef71e8cb9a3357e6d993a0
SK-051,03-data-contracts-forms,@hookform/resolvers,^3.10.0,typed-error-mapping,Typed Error Mapping,atomic-package-capability,none,skills/03-data-contracts-forms/hookform-resolvers/typed-error-mapping/SKILL.md,e80102eacb6954f522caad3ba8dcdf4f2df810892df2f9c2fee94c1bdca11cdf
SK-052,03-data-contracts-forms,date-fns,4.1.0,date-parsing-formatting,Date Parsing and Formatting,atomic-package-capability,none,skills/03-data-contracts-forms/date-fns/date-parsing-formatting/SKILL.md,30175e5c916eb9bb9b882681bc0a853f2f0ee3575046abc7df66ed5ef538ec25
SK-053,03-data-contracts-forms,date-fns,4.1.0,date-comparison,Date Comparison,atomic-package-capability,none,skills/03-data-contracts-forms/date-fns/date-comparison/SKILL.md,b7acc377f4629c6ceb0fedfac7ded8ccd87db2cd0a41dea3f12a5d13d57cf717
SK-054,03-data-contracts-forms,date-fns,4.1.0,date-arithmetic,Date Arithmetic,atomic-package-capability,none,skills/03-data-contracts-forms/date-fns/date-arithmetic/SKILL.md,e63751eddd46ff86c8699e9b0f75d3f4b72c4de5efb7ce4ee127381abffd3ecb
SK-055,03-data-contracts-forms,date-fns,4.1.0,date-intervals,Date Intervals,atomic-package-capability,none,skills/03-data-contracts-forms/date-fns/date-intervals/SKILL.md,562eed0a6cb6a7d185769910d70c2171c88b6313b5d1080428fb1c73ba08fcb2
SK-056,03-data-contracts-forms,date-fns,4.1.0,date-localization,Date Localization,atomic-package-capability,none,skills/03-data-contracts-forms/date-fns/date-localization/SKILL.md,55e7bfad259699e2d20ca604925d7685ba5dec7c82fc1a2fc3e90a7d87f1941a
