id,slug,domain,pack,discover,assess,frame,research,validate,define,decompose,specify,model,design,compare,prototype,implement,automate,execute,verify,operate,detect,respond,learn,optimize,govern,forecast,report,transition,retire,close,exit
PLC-001,product-vision-definition,01-product-strategy-portfolio,vision-strategy,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PLC-002,strategic-context-mapping,01-product-strategy-portfolio,vision-strategy,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PLC-003,strategic-principles-definition,01-product-strategy-portfolio,vision-strategy,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PLC-004,strategic-narrative-development,01-product-strategy-portfolio,vision-strategy,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PLC-005,portfolio-thesis,01-product-strategy-portfolio,portfolio-management,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PLC-006,portfolio-segmentation,01-product-strategy-portfolio,portfolio-management,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PLC-007,portfolio-prioritization,01-product-strategy-portfolio,portfolio-management,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PLC-008,investment-allocation,01-product-strategy-portfolio,portfolio-management,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PLC-009,value-architecture,01-product-strategy-portfolio,business-model,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PLC-010,business-model-design,01-product-strategy-portfolio,business-model,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PLC-011,unit-economics-modeling,01-product-strategy-portfolio,business-model,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PLC-012,product-governance-model,01-product-strategy-portfolio,strategy-governance,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PLC-013,decision-rights,01-product-strategy-portfolio,strategy-governance,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PLC-014,strategic-review-cadence,01-product-strategy-portfolio,strategy-governance,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PLC-015,opportunity-framing,02-discovery-research-market,opportunity-intelligence,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-016,trend-sensing,02-discovery-research-market,opportunity-intelligence,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-017,market-sizing,02-discovery-research-market,opportunity-intelligence,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-018,competitive-landscape,02-discovery-research-market,opportunity-intelligence,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-019,alternative-analysis,02-discovery-research-market,opportunity-intelligence,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-020,opportunity-prioritization,02-discovery-research-market,opportunity-intelligence,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-021,research-strategy,02-discovery-research-market,user-research,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-022,participant-segmentation,02-discovery-research-market,user-research,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-023,qualitative-research,02-discovery-research-market,user-research,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-024,quantitative-research,02-discovery-research-market,user-research,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-025,research-synthesis,02-discovery-research-market,user-research,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-026,problem-validation,02-discovery-research-market,validation,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-027,demand-validation,02-discovery-research-market,validation,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-028,solution-concept-validation,02-discovery-research-market,validation,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-029,assumption-mapping,02-discovery-research-market,validation,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-030,evidence-confidence-assessment,02-discovery-research-market,validation,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-031,product-outcome-definition,03-product-definition-requirements,outcomes-scope,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-032,success-metrics-definition,03-product-definition-requirements,outcomes-scope,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-033,scope-boundary-definition,03-product-definition-requirements,outcomes-scope,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-034,constraint-mapping,03-product-definition-requirements,outcomes-scope,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-035,stakeholder-alignment,03-product-definition-requirements,outcomes-scope,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-036,functional-requirements,03-product-definition-requirements,requirements-engineering,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-037,nonfunctional-requirements,03-product-definition-requirements,requirements-engineering,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-038,business-rules,03-product-definition-requirements,requirements-engineering,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-039,data-requirements,03-product-definition-requirements,requirements-engineering,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-040,traceability-model,03-product-definition-requirements,requirements-engineering,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-041,acceptance-criteria,03-product-definition-requirements,acceptance-planning,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-042,definition-of-ready,03-product-definition-requirements,acceptance-planning,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-043,definition-of-done,03-product-definition-requirements,acceptance-planning,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-044,dependency-identification,03-product-definition-requirements,acceptance-planning,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-045,roadmap-sequencing,03-product-definition-requirements,acceptance-planning,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLC-046,system-context-boundary,04-solution-architecture-systems,system-context,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-047,stakeholder-system-map,04-solution-architecture-systems,system-context,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-048,capability-map,04-solution-architecture-systems,system-context,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-049,dependency-map,04-solution-architecture-systems,system-context,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-050,architecture-option-analysis,04-solution-architecture-systems,solution-architecture,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-051,target-architecture,04-solution-architecture-systems,solution-architecture,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-052,integration-architecture,04-solution-architecture-systems,solution-architecture,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-053,deployment-architecture,04-solution-architecture-systems,solution-architecture,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-054,domain-decomposition,04-solution-architecture-systems,domain-modeling,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-055,bounded-context-design,04-solution-architecture-systems,domain-modeling,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-056,entity-and-value-modeling,04-solution-architecture-systems,domain-modeling,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-057,business-process-modeling,04-solution-architecture-systems,domain-modeling,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-058,quality-attribute-scenarios,04-solution-architecture-systems,quality-attributes,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-059,architecture-tradeoff-analysis,04-solution-architecture-systems,quality-attributes,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-060,resilience-by-design,04-solution-architecture-systems,quality-attributes,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-061,architecture-decision-records,04-solution-architecture-systems,architecture-governance,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-062,architecture-conformance,04-solution-architecture-systems,architecture-governance,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-063,evolutionary-architecture,04-solution-architecture-systems,architecture-governance,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLC-064,service-blueprinting,05-ux-service-design-information-architecture,service-design,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-065,actor-ecosystem-mapping,05-ux-service-design-information-architecture,service-design,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-066,frontstage-backstage-design,05-ux-service-design-information-architecture,service-design,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-067,service-failure-recovery,05-ux-service-design-information-architecture,service-design,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-068,persona-and-archetype-modeling,05-ux-service-design-information-architecture,journey-design,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-069,jobs-to-be-done,05-ux-service-design-information-architecture,journey-design,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-070,journey-mapping,05-ux-service-design-information-architecture,journey-design,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-071,onboarding-experience,05-ux-service-design-information-architecture,journey-design,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-072,conversion-journey-design,05-ux-service-design-information-architecture,journey-design,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-073,content-inventory,05-ux-service-design-information-architecture,information-architecture,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-074,taxonomy-design,05-ux-service-design-information-architecture,information-architecture,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-075,navigation-design,05-ux-service-design-information-architecture,information-architecture,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-076,findability-and-search-design,05-ux-service-design-information-architecture,information-architecture,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-077,interaction-model,05-ux-service-design-information-architecture,interaction-strategy,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-078,task-flow-design,05-ux-service-design-information-architecture,interaction-strategy,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-079,progressive-disclosure,05-ux-service-design-information-architecture,interaction-strategy,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-080,feedback-state-design,05-ux-service-design-information-architecture,interaction-strategy,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLC-081,brand-interface-alignment,06-ui-design-system-content-accessibility,visual-language,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
PLC-082,visual-hierarchy,06-ui-design-system-content-accessibility,visual-language,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
PLC-083,typography-and-color-system,06-ui-design-system-content-accessibility,visual-language,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
PLC-084,design-token-architecture,06-ui-design-system-content-accessibility,design-system,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
PLC-085,component-system-design,06-ui-design-system-content-accessibility,design-system,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
PLC-086,pattern-library-governance,06-ui-design-system-content-accessibility,design-system,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
PLC-087,design-system-adoption,06-ui-design-system-content-accessibility,design-system,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
PLC-088,responsive-layout,06-ui-design-system-content-accessibility,responsive-adaptive,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
PLC-089,adaptive-experience,06-ui-design-system-content-accessibility,responsive-adaptive,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
PLC-090,cross-device-consistency,06-ui-design-system-content-accessibility,responsive-adaptive,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
PLC-091,interface-copy,06-ui-design-system-content-accessibility,content-design,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
