id,slug,title,domain_slug,domain_title,pack_slug,pack_title,path,sha256
PLC-001,product-vision-definition,Product Vision Definition,01-product-strategy-portfolio,Product Strategy and Portfolio,vision-strategy,Vision and Strategy,skills/01-product-strategy-portfolio/vision-strategy/product-vision-definition/SKILL.md,ce1150cc6a0e7e37461e68939db4dd5a9acfffd1d3cc56853ef3bb54c6116431
PLC-002,strategic-context-mapping,Strategic Context Mapping,01-product-strategy-portfolio,Product Strategy and Portfolio,vision-strategy,Vision and Strategy,skills/01-product-strategy-portfolio/vision-strategy/strategic-context-mapping/SKILL.md,0c32efebb21cc323ff252b5ba16df9a98750792381478969f480bd1501021e98
PLC-003,strategic-principles-definition,Strategic Principles Definition,01-product-strategy-portfolio,Product Strategy and Portfolio,vision-strategy,Vision and Strategy,skills/01-product-strategy-portfolio/vision-strategy/strategic-principles-definition/SKILL.md,a42d2f16130a90f55d73d1ec366936d2c19a9735e326712c84a944c9d538d74d
PLC-004,strategic-narrative-development,Strategic Narrative Development,01-product-strategy-portfolio,Product Strategy and Portfolio,vision-strategy,Vision and Strategy,skills/01-product-strategy-portfolio/vision-strategy/strategic-narrative-development/SKILL.md,8f066ca0aee0a11583b8b572223653e3a358ceeac2c2e623e6cb2cf470890fc3
PLC-005,portfolio-thesis,Portfolio Thesis,01-product-strategy-portfolio,Product Strategy and Portfolio,portfolio-management,Portfolio Management,skills/01-product-strategy-portfolio/portfolio-management/portfolio-thesis/SKILL.md,6b486fad5c17a1564ca58a842f8b76f0811585530c857f6c5783f6f9908c635b
PLC-006,portfolio-segmentation,Portfolio Segmentation,01-product-strategy-portfolio,Product Strategy and Portfolio,portfolio-management,Portfolio Management,skills/01-product-strategy-portfolio/portfolio-management/portfolio-segmentation/SKILL.md,bb06f5b2dd04107e0c66ee43ecf02b6cab36b76acb388afcdf0226849733b408
PLC-007,portfolio-prioritization,Portfolio Prioritization,01-product-strategy-portfolio,Product Strategy and Portfolio,portfolio-management,Portfolio Management,skills/01-product-strategy-portfolio/portfolio-management/portfolio-prioritization/SKILL.md,5af425b8f90f9210dc820425bbbecd12f6a70e7ff45f2621386db835325b3613
PLC-008,investment-allocation,Investment Allocation,01-product-strategy-portfolio,Product Strategy and Portfolio,portfolio-management,Portfolio Management,skills/01-product-strategy-portfolio/portfolio-management/investment-allocation/SKILL.md,a3cdaae09f90c7b651225320ee53012194aab1089315292e56c7d1105d37a6c0
PLC-009,value-architecture,Value Architecture,01-product-strategy-portfolio,Product Strategy and Portfolio,business-model,Business Model,skills/01-product-strategy-portfolio/business-model/value-architecture/SKILL.md,1305556e91ef0133a4187aed40b131ec6dd9ddb612fd113fcdc5fd77da79b3fb
PLC-010,business-model-design,Business Model Design,01-product-strategy-portfolio,Product Strategy and Portfolio,business-model,Business Model,skills/01-product-strategy-portfolio/business-model/business-model-design/SKILL.md,d4971a878e7f64719837699a6df656693d2310d77074207859ae9dd6f0ff75f5
PLC-011,unit-economics-modeling,Unit Economics Modeling,01-product-strategy-portfolio,Product Strategy and Portfolio,business-model,Business Model,skills/01-product-strategy-portfolio/business-model/unit-economics-modeling/SKILL.md,2293770dabb2044d54ca2b8f1b53917f9901ead128d4958354ba0bc260861f5a
PLC-012,product-governance-model,Product Governance Model,01-product-strategy-portfolio,Product Strategy and Portfolio,strategy-governance,Strategy Governance,skills/01-product-strategy-portfolio/strategy-governance/product-governance-model/SKILL.md,32c18d375d4132232b627742eb9222156262dc6e685faf27d86154eafdf74fbe
PLC-013,decision-rights,Decision Rights,01-product-strategy-portfolio,Product Strategy and Portfolio,strategy-governance,Strategy Governance,skills/01-product-strategy-portfolio/strategy-governance/decision-rights/SKILL.md,a2e4dd521aa58964f4c48914ec606f4d25919e3bfa17a70e9c17717a6ee4d01f
PLC-014,strategic-review-cadence,Strategic Review Cadence,01-product-strategy-portfolio,Product Strategy and Portfolio,strategy-governance,Strategy Governance,skills/01-product-strategy-portfolio/strategy-governance/strategic-review-cadence/SKILL.md,38102dd43d9d5b305ae91ca0572d5c5d1d2abc9d271eea46c6bb4a102028885d
PLC-015,opportunity-framing,Opportunity Framing,02-discovery-research-market,"Discovery, Research and Market Intelligence",opportunity-intelligence,Opportunity Intelligence,skills/02-discovery-research-market/opportunity-intelligence/opportunity-framing/SKILL.md,5f68a15c9f11a3a13d67975d53b8cd5843e190fbb3bd52e62c63797045a4a2e6
PLC-016,trend-sensing,Trend Sensing,02-discovery-research-market,"Discovery, Research and Market Intelligence",opportunity-intelligence,Opportunity Intelligence,skills/02-discovery-research-market/opportunity-intelligence/trend-sensing/SKILL.md,126d4aca4eb0ad00e96a9de50eddb474c384b67d7b0f8f1c97fa0b25f598a85f
PLC-017,market-sizing,Market Sizing,02-discovery-research-market,"Discovery, Research and Market Intelligence",opportunity-intelligence,Opportunity Intelligence,skills/02-discovery-research-market/opportunity-intelligence/market-sizing/SKILL.md,d4f49f85c8a9293892563e861c17e239e809a8431afcf0fbd9c1ec4215bdb609
PLC-018,competitive-landscape,Competitive Landscape,02-discovery-research-market,"Discovery, Research and Market Intelligence",opportunity-intelligence,Opportunity Intelligence,skills/02-discovery-research-market/opportunity-intelligence/competitive-landscape/SKILL.md,1993b3164adc80f8e86ffc184f9a61583a70a83cbaada13c68251be45e5c8869
PLC-019,alternative-analysis,Alternative Analysis,02-discovery-research-market,"Discovery, Research and Market Intelligence",opportunity-intelligence,Opportunity Intelligence,skills/02-discovery-research-market/opportunity-intelligence/alternative-analysis/SKILL.md,037577f94529e3f49a96456ae716edba1680e9490115aec17f232bc63f1b1c35
PLC-020,opportunity-prioritization,Opportunity Prioritization,02-discovery-research-market,"Discovery, Research and Market Intelligence",opportunity-intelligence,Opportunity Intelligence,skills/02-discovery-research-market/opportunity-intelligence/opportunity-prioritization/SKILL.md,7b90cbc795523ba06bd09dad5023c70337556c2c76287cc5529a9bcfe4afc43c
PLC-021,research-strategy,Research Strategy,02-discovery-research-market,"Discovery, Research and Market Intelligence",user-research,User Research,skills/02-discovery-research-market/user-research/research-strategy/SKILL.md,bc2fbf6922e738be7dcc49b6df06b6803ffab1b2fc689a08dc67254693e12b77
PLC-022,participant-segmentation,Participant Segmentation,02-discovery-research-market,"Discovery, Research and Market Intelligence",user-research,User Research,skills/02-discovery-research-market/user-research/participant-segmentation/SKILL.md,4fa177fbbe6a9db7610015accc3881c141d0578e32e9b8ec5714fd0abf33bad1
PLC-023,qualitative-research,Qualitative Research,02-discovery-research-market,"Discovery, Research and Market Intelligence",user-research,User Research,skills/02-discovery-research-market/user-research/qualitative-research/SKILL.md,ceef3ff8a60f5c6c5ef43a900f126057663f8fc356b0db7a4f1780c6e1c58ea0
PLC-024,quantitative-research,Quantitative Research,02-discovery-research-market,"Discovery, Research and Market Intelligence",user-research,User Research,skills/02-discovery-research-market/user-research/quantitative-research/SKILL.md,24ea8e18a8b4875879aa2db41da6b2d2af0b9370e2696e50519e4b85e6157db4
PLC-025,research-synthesis,Research Synthesis,02-discovery-research-market,"Discovery, Research and Market Intelligence",user-research,User Research,skills/02-discovery-research-market/user-research/research-synthesis/SKILL.md,101ec1b42ee2bf6285f7bb6d616d1ff701a42c99f4700c3b3fa9139ae6b86d9f
